NAME                                                                              AGE
advanced-cluster-management.v2.0.0-f99pk-multicluster-opernw25c                   19h
advanced-cluster-management.v2.0.0-ftjjv-multiclusterhub-oxsp2z                   19h
advanced-cluster-management.v2.0.0-q6g2v-hive-operator-qs5wm                      19h
advanced-cluster-management.v2.0.0-tmqpm-cluster-manager-vbvdh                    19h
alertmanager-main                                                                 5d21h
basic-users                                                                       5d21h
cloud-credential-operator-rolebinding                                             5d21h
cluster-admin                                                                     5d21h
cluster-admin-0                                                                   5d20h
cluster-admins                                                                    5d21h
cluster-autoscaler                                                                5d21h
cluster-autoscaler-operator                                                       5d21h
cluster-monitoring-operator                                                       5d21h
cluster-node-tuning-operator                                                      5d21h
cluster-node-tuning:tuned                                                         5d21h
cluster-readers                                                                   5d21h
cluster-samples-operator                                                          5d21h
cluster-samples-operator-proxy-reader                                             5d21h
cluster-status-binding                                                            5d21h
cluster-storage-operator                                                          5d21h
cluster-version-operator                                                          5d21h
console-extensions-reader                                                         5d21h
console-operator                                                                  5d21h
console-operator-auth-delegator                                                   5d21h
csi-snapshot-controller-operator-role                                             5d21h
default-account-cluster-image-registry-operator                                   5d21h
default-account-cluster-network-operator                                          5d21h
default-account-openshift-machine-config-operator                                 5d21h
dns-monitoring                                                                    5d21h
grafana                                                                           5d21h
hive-admin                                                                        45h
hive-controllers                                                                  45h
hive-frontend                                                                     45h
hive-reader                                                                       45h
hiveadmission-hive-hiveadmission                                                  45h
insights-operator                                                                 5d21h
insights-operator-auth                                                            5d21h
insights-operator-gather                                                          5d21h
insights-operator-gather-reader                                                   5d21h
kube-apiserver                                                                    5d21h
kube-state-metrics                                                                5d21h
lab-build-an-operator-session-rules                                               5d20h
lab-build-an-operator-spawner-basic                                               5d20h
lab-build-an-operator-spawner-extra                                               5d20h
lab-build-an-operator-spawner-rules                                               5d20h
machine-api-controllers                                                           5d21h
machine-api-operator                                                              5d21h
machine-config-controller                                                         5d21h
machine-config-daemon                                                             5d21h
machine-config-server                                                             5d21h
marketplace-operator                                                              5d21h
multus                                                                            5d21h
multus-admission-controller-webhook                                               5d21h
multus-whereabouts                                                                5d21h
node-exporter                                                                     5d21h
olm-operator-binding-openshift-operator-lifecycle-manager                         5d21h
open-cluster-management:application-chart-e57d6:clusterrolebinding                45h
open-cluster-management:cert-manager-acf07:clusterrolebinding                     45h
open-cluster-management:cert-manager-webhook-cad30:auth-delegator                 45h
